"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"1","-1","1000","0.05","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.0526315789473744"
"2","-1","1000","0.05","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.05","-1.0526315789473744"
"3","-1","1000","0.05","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.0525","-1.0526315789473744"
"4","-1","1000","0.05","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.052625","-1.0526315789473744"
"5","-1","1000","0.05","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.05263125","-1.0526315789473744"
"6","-1","1000","0.05","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.0526315625","-1.0526315789473744"
"7","-1","1000","0.05","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.052631578125","-1.0526315789473744"
"8","-1","1000","0.05","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.05263157890625","-1.0526315789473744"
"9","-1","1000","0.05","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.0526315789453125","-1.0526315789473744"
"10","-1","1000","0.05","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.0526315789472656","-1.0526315789473744"
"11","-1","1000","0.1","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.1111111111110925"
"12","-1","1000","0.1","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.1","-1.1111111111110925"
"13","-1","1000","0.1","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.11","-1.1111111111110925"
"14","-1","1000","0.1","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.111","-1.1111111111110925"
"15","-1","1000","0.1","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.1111","-1.1111111111110925"
"16","-1","1000","0.1","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.11111","-1.1111111111110925"
"17","-1","1000","0.1","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.111111","-1.1111111111110925"
"18","-1","1000","0.1","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.1111111","-1.1111111111110925"
"19","-1","1000","0.1","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.11111111","-1.1111111111110925"
"20","-1","1000","0.1","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.1111111111110725","-1.1111111111110925"
"21","-1","1000","0.15","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.1764705882352855"
"22","-1","1000","0.15","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.15","-1.1764705882352855"
"23","-1","1000","0.15","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.1724999999999999","-1.1764705882352855"
"24","-1","1000","0.15","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.175875","-1.1764705882352855"
"25","-1","1000","0.15","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.17638125","-1.1764705882352855"
"26","-1","1000","0.15","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.1764571875","-1.1764705882352855"
"27","-1","1000","0.15","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.176468578125","-1.1764705882352855"
"28","-1","1000","0.15","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.17647028671875","-1.1764705882352855"
"29","-1","1000","0.15","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.1764705430078124","-1.1764705882352855"
"30","-1","1000","0.15","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.1764705882351787","-1.1764705882352855"
"31","-1","1000","0.2","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.25"
"32","-1","1000","0.2","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.2","-1.25"
"33","-1","1000","0.2","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.24","-1.25"
"34","-1","1000","0.2","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.248","-1.25"
"35","-1","1000","0.2","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.2496","-1.25"
"36","-1","1000","0.2","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.24992","-1.25"
"37","-1","1000","0.2","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.249984","-1.25"
"38","-1","1000","0.2","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.2499968","-1.25"
"39","-1","1000","0.2","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.24999936","-1.25"
"40","-1","1000","0.2","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.2499999999999345","-1.25"
"41","-1","1000","0.25","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.3333333333333273"
"42","-1","1000","0.25","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.25","-1.3333333333333273"
"43","-1","1000","0.25","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.3125","-1.3333333333333273"
"44","-1","1000","0.25","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.328125","-1.3333333333333273"
"45","-1","1000","0.25","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.33203125","-1.3333333333333273"
"46","-1","1000","0.25","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.3330078125","-1.3333333333333273"
"47","-1","1000","0.25","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.333251953125","-1.3333333333333273"
"48","-1","1000","0.25","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.33331298828125","-1.3333333333333273"
"49","-1","1000","0.25","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.3333282470703125","-1.3333333333333273"
"50","-1","1000","0.25","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.3333333333332575","-1.3333333333333273"
"51","-1","1000","0.3","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.4285714285714086"
"52","-1","1000","0.3","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.3","-1.4285714285714086"
"53","-1","1000","0.3","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.3900000000000001","-1.4285714285714086"
"54","-1","1000","0.3","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.417","-1.4285714285714086"
"55","-1","1000","0.3","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.4251","-1.4285714285714086"
"56","-1","1000","0.3","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.42753","-1.4285714285714086"
"57","-1","1000","0.3","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.428259","-1.4285714285714086"
"58","-1","1000","0.3","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.4284777","-1.4285714285714086"
"59","-1","1000","0.3","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.4285688979","-1.4285714285714086"
"60","-1","1000","0.3","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.4285714285713076","-1.4285714285714086"
"61","-1","1000","0.35","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.5384615384615083"
